Identifier,Label,Description,Created,Modified,History notes,Type
3158,Bus services - assessment and approval of franchising schemes,"Subject to Regulations, a franchising authority, or two or more franchising authorities acting jointly, proposing to make a franchising scheme must carry out an assessment as required by Section 123B, publish the same and where necessary obtain the Secretary of State's approval.",2018-03-08,2018-03-08,,duty
3159,Bus services - audit of franchising schemes,"Subject to Regulations, a franchising authority, or two or more franchising authorities acting jointly, proposing to make a franchising scheme must carry out an independent audit of the scheme, whilst having regard to the Secretary of State's guidance.",2018-03-08,2018-03-08,,duty
3160,Bus services - consultation on franchising schemes,"Subject to Regulations, a franchising authority, or two or more franchising authorities acting jointly, proposing to make a franchising scheme must carry out a consultation exercise in relation to the scheme, in certain circumstances.",2018-03-08,2018-03-08,,duty
3161,Bus services - publication of franchising scheme,"Subject to Regulations, a franchising authority, or two or more franchising authorities acting jointly, proposing to make a franchising scheme must publish the scheme, in the required manner.",2018-03-08,2018-03-08,,duty
3162,Bus services - franchising schemes - postponement of local service contracts,"A franchising authority, or two or more franchising authorities acting jointly, may postpone Local Service Contracts in certain circumstances.",2018-03-08,2018-03-08,,power
3163,Bus services - franchising schemes - restrictions on local service contracts,"A franchising authority, or two or more franchising authorities acting jointly, must comply with restrictions on Local Service Contracts where a franchising scheme is in force.",2018-03-08,2018-03-08,,duty
3164,Bus services - variation of franchising scheme,"A franchising authority, or two or more franchising authorities acting jointly, may vary a franchising scheme in accordance with the provision of the statute.",2018-03-08,2018-03-08,,power
3165,Bus services - revocation of franchising scheme,"A franchising authority, or two or more franchising authorities acting jointly, may revoke a franchising scheme in accordance with the provision of the statute.",2018-03-08,2018-03-08,,power
3166,Bus services - franchising schemes - interim service where operator failure,"A franchising authority, or two or more franchising authorities acting jointly, may provide an interim service in circumstances of operator failure.",2018-03-08,2018-03-08,,power
3167,Bus services - franchising schemes - service permits,"A franchising authority, or two or more franchising authorities acting jointly, may grant, attach conditions to, revoke or suspend a service permit.",2018-03-08,2018-03-08,,power
3168,Bus services - franchising schemes - regulations and guidance,"A franchising authority, or two or more franchising authorities acting jointly, must comply with Regulations and have regard to Guidance issued by the Secretary of State.",2018-03-08,2018-03-08,,duty
